시·도,시·군·구,읍·면·동,구간거리 (km),40FT 컨테이너,20FT 컨테이너
대전광역시,대덕구,회덕동,258,"809,200","707,100"
대전광역시,대덕구,덕암동,267,"828,900","723,100"
대전광역시,대덕구,목상동,269,"833,200","726,700"
울산광역시,중구,중앙동,92,"417,400","368,000"
울산광역시,남구,옥동,85,"398,800","352,000"
울산광역시,남구,야음장생포동,90,"412,100","363,400"
울산광역시,남구,선암동,89,"409,300","361,200"
울산광역시,북구,농소1동,100,"438,200","386,000"
울산광역시,북구,농소2동,101,"440,900","388,400"
울산광역시,북구,효문동,96,"427,900","377,100"
울산광역시,울주군,온산읍,81,"388,100","342,800"
울산광역시,울주군,언양읍,72,"363,600","321,600"
울산광역시,울주군,온양읍,75,"371,800","328,700"
울산광역시,울주군,청량읍,85,"398,800","352,000"
울산광역시,울주군,웅촌면,71,"360,900","319,300"
울산광역시,울주군,두동면,86,"401,500","354,300"
울산광역시,울주군,두서면,81,"388,100","342,800"
울산광역시,울주군,상북면,77,"377,300","333,400"
울산광역시,울주군,삼남면,69,"355,300","314,400"
울산광역시,울주군,삼동면,71,"360,900","319,300"
경기도,수원시 장안구,파장동,381,"1,061,400","931,700"
경기도,수원시 권선구,평동,374,"1,049,000","921,800"
경기도,수원시 영통구,매탄1동,375,"1,050,800","923,300"
경기도,성남시 분당구,야탑1동,372,"1,045,500","919,000"
경기도,안양시 만안구,박달1동,390,"1,077,400","944,100"
경기도,안양시 동안구,관양1동,388,"1,073,800","941,300"
경기도,부천시,오정동,420,"1,129,900","985,600"
경기도,평택시,팽성읍,346,"998,000","881,100"
경기도,평택시,포승읍,371,"1,043,700","917,500"
경기도,평택시,청북읍,364,"1,031,300","907,600"
경기도,평택시,진위면,352,"1,009,800","890,600"
경기도,평택시,서탄면,362,"1,027,600","904,800"
경기도,평택시,고덕면,358,"1,020,500","899,200"
경기도,평택시,오성면,362,"1,027,600","904,800"
경기도,평택시,중앙동,350,"1,006,200","887,700"
경기도,평택시,송탄동,346,"998,000","881,100"
경기도,평택시,지산동,352,"1,009,800","890,600"
경기도,평택시,신평동,342,"989,600","874,400"
경기도,평택시,비전1동,342,"989,600","874,400"
경기도,평택시,세교동,344,"993,700","877,800"
경기도,동두천시,불현동,427,"1,142,200","995,000"
경기도,동두천시,소요동,430,"1,147,400","999,100"
