편도거리(KM),40FT 컨테이너,20FT 컨테이너
265,"824,300","719,600"
266,"826,600","721,300"
267,"828,900","723,100"
268,"830,900","724,900"
269,"833,200","726,700"
270,"835,300","728,500"
271,"839,700","750,800"
272,"841,700","752,400"
273,"843,700","754,200"
274,"845,600","755,900"
275,"847,500","757,800"
276,"849,500","759,500"
277,"851,500","761,100"
278,"853,500","762,900"
279,"855,500","764,700"
280,"857,400","766,500"
281,"859,400","768,100"
282,"861,300","769,800"
283,"863,200","771,700"
284,"865,400","773,400"
285,"867,400","775,000"
286,"869,500","776,700"
287,"871,800","778,600"
288,"873,800","780,300"
289,"875,900","782,200"
290,"878,200","784,000"
291,"880,200","785,700"
292,"882,400","787,300"
293,"884,500","789,000"
294,"886,600","790,800"
295,"888,800","792,500"
296,"890,800","794,200"
297,"893,000","795,800"
298,"895,100","797,700"
299,"897,300","799,500"
300,"901,700","803,200"
301,"903,800","805,000"
302,"905,900","806,800"
303,"908,000","808,400"
304,"910,100","810,200"
305,"912,200","811,800"
306,"914,400","813,500"
307,"916,500","815,200"
308,"918,500","817,000"
309,"920,700","818,800"
310,"922,800","820,400"
311,"924,900","822,100"
312,"926,800","823,800"
313,"929,000","825,500"
314,"931,200","827,100"
315,"933,200","828,800"
316,"935,200","830,600"
317,"937,500","832,300"
318,"939,500","834,000"
319,"941,600","835,700"
320,"943,600","837,500"
321,"945,800","839,000"
322,"947,900","840,700"
323,"949,900","842,400"
324,"952,000","844,100"
325,"954,200","845,800"
326,"956,200","847,400"
327,"958,400","849,200"
328,"960,400","850,900"
329,"962,400","852,500"
330,"964,700","854,200"
331,"966,700","855,900"
332,"968,700","857,700"
333,"970,900","859,400"
334,"972,900","861,000"
335,"975,100","862,700"
336,"977,300","864,400"
337,"979,200","866,100"
338,"981,300","867,800"
339,"983,400","869,400"
340,"985,500","871,100"
341,"987,600","872,700"
342,"989,600","874,400"
343,"991,700","876,100"
344,"993,700","877,800"
345,"995,800","879,300"
346,"998,000","881,100"
347,"1,000,000","882,700"
348,"1,002,100","884,400"
349,"1,004,200","886,000"
350,"1,006,200","887,700"
351,"1,007,900","889,000"
352,"1,009,800","890,600"
353,"1,011,500","891,900"
354,"1,013,400","893,400"
355,"1,015,100","894,800"
356,"1,017,000","896,300"
357,"1,018,700","897,700"
358,"1,020,500","899,200"
359,"1,022,200","900,500"
360,"1,024,100","901,800"
361,"1,025,800","903,500"
362,"1,027,600","904,800"
363,"1,029,300","906,100"
364,"1,031,300","907,600"
365,"1,033,000","909,100"
366,"1,034,800","910,400"
367,"1,036,600","911,800"
368,"1,038,300","913,400"
369,"1,040,100","914,600"
370,"1,041,800","916,000"
371,"1,043,700","917,500"
372,"1,045,500","919,000"
373,"1,047,300","920,400"
374,"1,049,000","921,800"
375,"1,050,800","923,300"
376,"1,052,600","924,500"
377,"1,054,300","926,100"
378,"1,056,200","927,500"
379,"1,057,900","928,700"
380,"1,059,600","930,300"
381,"1,061,400","931,700"
382,"1,063,200","933,000"
383,"1,065,000","934,500"
384,"1,066,800","935,800"
385,"1,068,500","937,200"
386,"1,070,400","938,700"
